title,abstract
Sleep Duration and Insomnia in Adolescents Seeking Treatment for Anxiety in Primary Health Care,"There is limited knowledge about sleep in adolescents with elevated levels of anxiety treated within primary health care settings, potentially resulting in sleep problems not being sufficiently addressed by primary health care workers. In the current study self-reported anxiety, insomnia, sleep onset latency, sleep duration, and depressive symptoms were assessed in 313 adolescents (12–16 years; mean age 14.0, SD = 0.84, 84.0% girls) referred to treatment for anxiety within primary health care. Results showed that 38.1% of the adolescents met criteria for insomnia, 34.8% reported short sleep duration (<7 h), and 83.1% reported long sleep onset latency (≥30 min). Total anxiety symptoms were related to all sleep variables after controlling for age and sex. Furthermore, all anxiety symptom sub-types were associated with insomnia and sleep onset latency, whereas most anxiety subtypes were associated with sleep duration. Adolescents’ depressive symptoms accounted for most of the anxiety-sleep associations, emphasizing the importance of depressive symptoms for sleep. However, anxiety was associated with insomnia and sleep onset latency also among youth with low levels of depressive symptoms. The findings suggests that primary health care workers should assess sleep duration, sleep onset latency, and insomnia in help-seeking adolescents with anxiety."
The Modified Abbreviated Math Anxiety Scale: A Valid and Reliable Instrument for Use with Children,"Mathematics anxiety (MA) can be observed in children from primary school age into the teenage years and adulthood, but many MA rating scales are only suitable for use with adults or older adolescents. We have adapted one such rating scale, the Abbreviated Math Anxiety Scale (AMAS), to be used with British children aged 8–13. In this study, we assess the scale's reliability, factor structure, and divergent validity. The modified AMAS (mAMAS) was administered to a very large (n = 1746) cohort of British children and adolescents. This large sample size meant that as well as conducting confirmatory factor analysis on the scale itself, we were also able to split the sample to conduct exploratory and confirmatory factor analysis of items from the mAMAS alongside items from child test anxiety and general anxiety rating scales. Factor analysis of the mAMAS confirmed that it has the same underlying factor structure as the original AMAS, with subscales measuring anxiety about Learning and Evaluation in math. Furthermore, both exploratory and confirmatory factor analysis of the mAMAS alongside scales measuring test anxiety and general anxiety showed that mAMAS items cluster onto one factor (perceived to represent MA). The mAMAS provides a valid and reliable scale for measuring MA in children and adolescents, from a younger age than is possible with the original AMAS. Results from this study also suggest that MA is truly a unique construct, separate from both test anxiety and general anxiety, even in childhood."
Parent-child math anxiety and math-gender stereotypes predict adolescents' math education outcomes,"Two studies examined social determinants of adolescents' math anxiety including parents' own math anxiety and children's endorsement of math-gender stereotypes. In Study 1, parent-child dyads were surveyed and the interaction between parent and child math anxiety was examined, with an eye to same- and other-gender dyads. Results indicate that parent's math anxiety interacts with daughters' and sons' anxiety to predict math self-efficacy, GPA, behavioral intentions, math attitudes, and math devaluing. Parents with lower math anxiety showed a positive relationship to children's math outcomes when children also had lower anxiety. The strongest relationships were found with same-gender dyads, particularly Mother-Daughter dyads. Study 2 showed that endorsement of math-gender stereotypes predicts math anxiety (and not vice versa) for performance beliefs and outcomes (self-efficacy and GPA). Further, math anxiety fully mediated the relationship between gender stereotypes and math self-efficacy for girls and boys, and for boys with GPA. These findings address gaps in the literature on the role of parents' math anxiety in the effects of children's math anxiety and math anxiety as a mechanism affecting performance. Results have implications for interventions on parents' math anxiety and dispelling gender stereotypes in math classrooms."
Personalized Assessment of Anxiety and Avoidance in Children and Their Parents—Development and Evaluation of the Anxiety and Avoidance Scale for Children,"In treating childhood anxiety disorders, therapists use highly individualized anxiety hierarchies to assess anxiety-eliciting situations and to personalize treatment. In contrast, psychometric assessment of anxiety symptoms in children usually consists of standardized questionnaires, assessing either total anxiety or disorder-specific symptom scores, prioritizing comparability over individual information. To account for interindividual differences, the Anxiety and Avoidance Scale for Children (AVAC) was developed, following a precise, personalized, assessment approach. In responding to the questionnaire, children and parents identify the most anxiety-eliciting situations before starting treatment, and rate them for anxiety and avoidance. Ratings are repeated over the course of treatment. The aim of this study is to introduce the new questionnaire and present first data on psychometric properties. The AVAC was administered to 389 children with separation anxiety disorder (N = 148), social anxiety disorder (N = 110) or specific phobia (N = 131) aged 8 to 16 and their parents, along with other measures of anxiety and psychopathology before and after cognitive behavioral treatment. Results showed adequate to good test-retest reliability. The AVAC items correlated significantly with established anxiety questionnaires, indicating convergent construct validity. Regarding divergent construct validity, the AVAC showed only small correlations with externalizing symptoms, demonstrating its precision in measuring anxiety and avoidance. The questionnaire was also sensitive to change after treatment, with medium to large effects in the reduction of anxiety and avoidance. The present analyses suggest that the new personalized assessment approach with the AVAC is a reliable and valid assessment of individualized anxiety and avoidance, as well as change in those constructs over the course of CBT treatment."
"
","
"
The Impact of Intolerance of Uncertainty on Test Anxiety: Student Athletes During the COVID-19 Pandemic,"Test anxiety caused by intolerance of uncertainty has a negative impact on the physical and mental health of student athletes, especially in the context of the coronavirus disease 2019 (COVID-19) pandemic. A total of 556 grade three high school student athletes in Chongqing, China, were investigated using the Test Anxiety Scale (TAS), Intolerance of Uncertainty Scale-12 (IUS-12), Perceived Social Support Scale, and Coping Style Scale for Middle School Students. Results reveal that more than half the student athletes experienced test anxiety, and the severity was above average during the COVID-19 pandemic. There was a significant correlation between intolerance of uncertainty, perceived social support, coping style, and test anxiety. A positive correlation was found between test anxiety, intolerance of uncertainty, and coping style toward emotions, and a negative correlation between test anxiety, perceived social support, and coping style toward problems. Intolerance of uncertainty has a direct predictive effect on test anxiety, and perceived social support and coping style play a chain mediator role between intolerance of uncertainty and test anxiety. By constructing the mediating effect model, we can, to some extent, reveal the mechanism of the influence of intolerance of uncertainty on test anxiety. This study has a certain reference value for the prevention of test anxiety in student athletes in the context of the COVID-19 pandemic."
Lights and Shadows of Trait Emotional Intelligence: Its Mediating Role in the Relationship Between Negative Affect and State Anxiety in University Students,"Nowadays, students are experiencing difficult and stressful situations due to the Global Pandemic Alert. This changing world can evoke negative emotions that have been traditionally linked to higher anxiety. Researches have been focused on the positive outcomes of trait emotional intelligence (TEI) preventing psychological disorders. However, the possibility that TEI might have a dark side has been neglected. Hence, this study aimed to explore the mediating effect of the three dimensions of TEI in the relationship between negative affect and anxiety symptoms among college students. Participants of this research were 467 undergraduates who completed an online self-reported questionnaire including the Positive and Negative Affect Schedule (PANAS; Watson et al., 1988), the State-Trait Anxiety Inventory (STAI; Spielberger et al., 1970), and Trait Meta-Mood Scale (TMMS-24, Salovey et al., 1995). The global serial mediation model showed that the total amount of variance explained by the global model was 30.8% (R2 = 0.31). Negative affectivity and age accounted for the 15.1% of state anxiety variance (R2 = 0.15; c: B = 0.63, p < 0.001) while 15.7% of the variance of state anxiety was attributed to the direct or indirect effect of the three dimensions of TEI (R2 = 0.16). Five indirect effects presented statistical significance (95% BootCI). The contrast analyses between mediators showed that three indirect effects had higher statistical weigh; the ability of negative affect to increase state anxiety through (i) emotional attention; (ii) emotional clarity, and (iii) serially through emotional clarity and mood repair. Our results indicated that students’ negative emotions lead to higher emotional attention which in turn may enhance state anxiety in two ways: by a direct effect of emotional attention on state anxiety and by a serial effect through emotional clarity. Moreover, when negative affect is associated with lower emotional clarity, anxiety symptoms may also arise. However, when attention and clarity are connected, the negative effect is reversed into a positive one, decreasing state anxiety."
Association between Social Anxiety and Visual Mental Imagery of Neutral Scenes: The Moderating Role of Effortful Control,"According to cognitive theories, verbal processing attenuates emotional processing, whereas visual imagery enhances emotional processing and contributes to the maintenance of social anxiety. Individuals with social anxiety report negative mental images in social situations. However, the general ability of visual mental imagery of neutral scenes in individuals with social anxiety is still unclear. The present study investigated the general ability of non-emotional mental imagery (vividness, preferences for imagery vs. verbal processing, and object or spatial imagery) and the moderating role of effortful control in attenuating social anxiety. The participants (N = 231) completed five questionnaires. The results showed that social anxiety was not necessarily associated with all aspects of mental imagery. As suggested by theories, social anxiety was not associated with a preference for verbal processing. However, social anxiety was positively correlated with the visual imagery scale, especially the object imagery scale, which concerns the ability to construct pictorial images of individual objects. Further, it was negatively correlated with the spatial imagery scale, which concerns the ability to process information about spatial relations between objects. Although object imagery and spatial imagery positively and negatively predicted the degree of social anxiety, respectively, these effects were attenuated when socially anxious individuals had high effortful control. Specifically, in individuals with high effortful control, both object and spatial imagery were not associated with social anxiety. Socially anxious individuals might prefer to construct pictorial images of individual objects in natural scenes through object imagery. However, even in individuals who exhibit these features of mental imagery, effortful control could inhibit the increase in social anxiety."
"
","
"
Trait Anxiety Impacts the Perceived Gaze Direction of Fearful But Not Angry Faces,"Facial expression and gaze direction play an important role in social communication. Previous research has demonstrated the perception of anger is enhanced by direct gaze, whereas, it is unclear whether perception of fear is enhanced by averted gaze. In addition, previous research has shown the anxiety affects the processing of facial expression and gaze direction, but hasn’t measured or controlled for depression. As a result, firm conclusions cannot be made regarding the impact of individual differences in anxiety and depression on perceptions of face expressions and gaze direction. The current study attempted to reexamine the effect of the anxiety level on the processing of facial expressions and gaze direction by matching participants on depression scores. A reliable psychophysical index of the range of eye gaze angles judged as being directed at oneself [the cone of direct gaze (CoDG)] was used as the dependent variable in this study. Participants were stratified into high/low trait anxiety groups and asked to judge the gaze of angry, fearful, and neutral faces across a range of gaze directions. The result showed: (1) the perception of gaze direction was influenced by facial expression and this was modulated by trait anxiety. For the high trait anxiety group, the CoDG for angry expressions was wider than for fearful and neutral expressions, and no significant difference emerged between fearful and neutral expressions; For the low trait anxiety group, the CoDG for both angry and fearful expressions was wider than for neutral, and no significant difference emerged between angry and fearful expressions. (2) Trait anxiety modulated the perception of gaze direction only in the fearful condition, such that the fearful CoDG for the high trait anxiety group was narrower than the low trait anxiety group. This demonstrated that anxiety distinctly affected gaze perception in expressions that convey threat (angry, fearful), such that a high trait anxiety level modulated the impact of indirectly threatening expressions (fearful), and did not influence responses to directly threatening expression (angry). These findings partially support the shared signal hypothesis."
Neural correlates of math anxiety – an overview and implications,"Math anxiety is a common phenomenon which can have a negative impact on numerical and arithmetic performance. However, so far little is known about the underlying neurocognitive mechanisms. This mini review provides an overview of studies investigating the neural correlates of math anxiety which provide several hints regarding its influence on math performance: while behavioral studies mostly observe an influence of math anxiety on difficult math tasks, neurophysiological studies show that processing efficiency is already affected in basic number processing. Overall, the neurocognitive literature suggests that (i) math anxiety elicits emotion- and pain-related activation during and before math activities, (ii) that the negative emotional response to math anxiety impairs processing efficiency, and (iii) that math deficits triggered by math anxiety may be compensated for by modulating the cognitive control or emotional regulation network. However, activation differs strongly between studies, depending on tasks, paradigms, and samples. We conclude that neural correlates can help to understand and explore the processes underlying math anxiety, but the data are not very consistent yet."
"Examining Mental Health Knowledge, Stigma, and Service Use Intentions Among Public Safety Personnel","Introduction: Public safety personnel (PSP; e.g., communications officials [e.g., 911 call center operators/dispatchers], correctional service employees, firefighters, paramedics, police officers) experience an elevated risk for mental disorders due to inherent work-related stress. Several programs have been designed to increase mental health knowledge, intending to reduce stigma, and increase mental health service help-seeking (e.g., resilience training); however, extant programs have not demonstrated sustained improvements for PSP mental health. The current study assessed levels of mental health knowledge, stigma, and service use intentions in a sample of Canadian PSP and compared trends to published estimates of mental health symptoms across PSP categories to inform future programming."
