title,abstract
Electoral Protests and Political Attitudes under Electoral Authoritarianism,"Do opposition protests affect citizens’ attitudes in electoral autocracies? While existing research expects that as protests unfold in illiberal regimes support for the protesters will increase, there are only a few empirical tests of this hypothesis. Combining an original author-assembled protest event data set with two nationally representative public opinion surveys that were in the field during the 2011–12 electoral protests in Russia, we examine whether and how protests affect political attitudes. We find that, in the early weeks of the protest wave, opposition rallies generated support for the demands of the protest movement. Nevertheless, evidence also suggests that the effects of protests on attitudes are not uniform. The coverage of protests in national media, and the use of regime-led repression against protesters, dampen support for the protest movement and its demands. Our findings make an original contribution to scholarship on authoritarian vulnerability and resilience to street discontent."
Can Political Alignment Be Costly?,"Research on the benefits of political alignment suggests that voters who elect governing party politicians are better off than those who elect other politicians. We examine this claim with regression discontinuity designs that isolate the effect of electing a governing party politician on an important publicly provided service in Pakistan: health. Consistent with existing research, governing party constituents receive a higher quantity of services; more doctors are assigned to work in governing party areas. However, despite many more assigned doctors, there is no increase in doctor attendance. These findings contrast with the literature on political alignment by showing that alignment to the governing party affects voters’ welfare ambiguously: higher potential quantity of services may come at the cost of lower quality."
The Effective Altruist’s Political Problem,"Critics of private charity often claim that the well-off should instead assist the disadvantaged through political reform. The present article explores this idea with reference to effective altruism, a powerful new paradigm in the ethics of philanthropy. Effective altruism presses the relatively affluent not only to give generously, but also to subject their practical deliberations to rigorous evaluations of impartiality and cost-effectiveness. The article contends that the movement’s sophisticated methods are not sufficient to overcome the worries of institutionalist critics. At the same time, it shows that a transition from assistance to advocacy faces underappreciated and serious limitations. The measurement-based methods that allow effective altruists to identify promising assistance programs do not carry over well to political reform. In addition, unleashing greater private wealth into politics may exacerbate unequal opportunities for political influence. The article closes with preliminary suggestions for overcoming these concerns and connects them to broader developments in the politics of philanthropy."
Information Technology and Political Engagement: Mixed Evidence from Uganda,"This study integrates three related field experiments to learn about how information communications technology (ICT) innovations can affect who communicates with politicians. We implemented a nationwide experiment in Uganda following a smaller-scale framed field experiment that suggested that ICTs can lead to significant “flattening”: marginalized populations used short message service (SMS) based communication at relatively higher rates compared to existing political communication channels. We find no evidence for these effects in the national experiment. Instead, participation rates are extremely low, and marginalized populations engage at especially low rates. We examine possible reasons for these differences between the more controlled and the scaled-up experiments. The evidence suggests that even when citizens have issues they want to raise, technological fixes to communication deficits can be easily undercut by structural weaknesses in political systems."
Age of Marriage and Women’s Political Engagement: Evidence from India,"Although decades have passed since most women in the democratic world gained the right to vote and run for election, a large gender gap in political participation persists, particularly in developing countries. This short article considers an important—and previously overlooked—factor limiting the political engagement of many women in the developing world: marriage age. Drawing on nationally representative data from India and instrumenting marriage age with menarche age, we find that delaying marriage has substantial positive effects on women’s everyday political participation. A standard deviation increase in marriage age makes a woman 25% more likely to attend local council meetings and 8% more likely to discuss politics with her husband. Exploring mechanisms, we show that education and time—rather than employment, mobility, and household decision-making power—appear to be the main channels. These findings underscore the critical role of early marriage in impeding women’s participation in the political sphere."
Do Women Pay a Higher Price for Power? Gender Bias in Political Violence in Sweden,"Violence and intimidation against politicians is gaining attention in research on obstacles to political gender equality, but we still do not know whether women experience more violence as politicians than men. This article provides the first comprehensive empirical analysis of physical and psychological gender-based violence against officeholders across the political hierarchy. Based on three waves of survey data on 8,000 local-level politicians in Sweden, I find that the most pronounced gender gap in violence exists among politicians high in the political hierarchy. Female mayors experience far more violence than any other politician. Further, there are indications that women receive a higher penalty than men for media visibility and for supporting minorities. This suggests that perpetrators of political violence are biased toward targeting women, particularly more powerful and visible women. The findings have important implications for understanding the personal price paid for holding positions of political power and how it differs by gender."
"Boycotting, Buycotting, and the Psychology of Political Consumerism","Political consumerism refers to the intentional avoidance or purchase of products because of political, social, or ethical concerns. The intentional avoidance (boycotting) and the intentional purchase (buycotting) of products constitute a growing form of political behavior. In this article, we offer a conceptual framework for understanding and disentangling boycotting and buycotting, based on a psychological framework of avoidance and approach, respectively. We conduct three original survey experiments to identify the differential effects of negative and positive information in stimulating boycotting and buycotting behaviors. In all three studies, we find that negative information is far more powerful in inducing boycotting than positive information is in inducing buycotting."
The Political Logic of Government Disclosure: Evidence from Information Requests in Mexico,"When citizens ask questions, how does their government answer? Requests for government information confront officials with incentives both for and against disclosure. We argue that officials seek to manage political risks in ways that favor requests from government-aligned regions. We study responsiveness in the context of Mexico’s access-to-information law, using publicly available data from several hundred thousand information requests filed with Mexican federal government agencies between 2003 and 2015. Our empirical strategy makes comparisons only among requests sent to similar agencies on similar topics at similar times, while accounting for the complexity, sophistication, and sensitivity of individual requests. We find that requests filed from locales with higher governing-party vote shares receive more favorable responses, across multiple indicators of the nature and timing of responses. Further, we find bias only for requests on publicly relevant topics, providing evidence in favor of a mechanism of mitigating political risks over one of rewarding supporters with greater access to benefits."
"Culture, Capital, and the Political Economy Gender Gap: Evidence from Meghalaya’s Matrilineal Tribes","What explains the gender gap in political engagement and economic policy preferences? Many scholars point to material resources, while others credit cultural determinants. We identify and test an important link between these factors: cultural lineage norms that structure entitlements to resources. Studying the relationship between culture and resources is challenging in societies where both disadvantage women. We analyze a unique setting: northeast India, where matrilineal tribes live alongside patrilineal communities. Patriarchal cultures and political institutions are shared, but lineage norms are distinct: patrilineal groups distribute inherited wealth through men, while matrilineal tribes do so via women. We conduct survey and behavioral experiments with representative samples of both communities, alongside extensive qualitative research, and find that the gender gap reverses across patrilineal and matrilineal groups. Our results indicate that lineage norms—which determine who gets to make decisions about wealth and how—are key determinants of the political economy gender gap."
Deadly Populism: How Local Political Outsiders Drive Duterte’s War on Drugs in the Philippines,"Around the world, populists have won elections on the strength of crowd-pleasing, but norm-defying, policy proposals. Although effective at mobilizing support at election time, these policies are often difficult to implement in practice because populists lack allies throughout the political system. Examining President Rodrigo Duterte’s brutal War on Drugs in the Philippines, we find that mayors excluded from existing establishment patronage networks filled this critical implementation gap. Employing regression discontinuity and difference-in-differences approaches, we demonstrate that outsider mayors received 40% lower public works appropriations and, in turn, executed Duterte’s drug war much more aggressively. Outsider-led municipalities had 40% more antidrug incidents and 60% more extrajudicial killings by police. The results illustrate an important trade-off between patronage politics and corruption (politics as usual) and violent democratic backsliding."
How Does Economic Knowledge Have a Politics? On the Frustrated Attempts of John K. Galbraith and Robert M. Solow to Fix the Political Meaning of Economic Models in The Public Interest,"In the late 1960s, two big shots of postwar economics debated model-building techniques in the Public Interest. Robert M. Solow argued that the new methods enabled precise state intervention. To John K. Galbraith, they marginalized critical economic thinking and abetted the prevailing growthist ideology to the detriment of the public good. Both claimed influence over policy making but through different channels. Both argued vigorously to fix the political meaning of modeling before a general audience. This article focuses on the actors’ frustrated attempts to establish clear-cut relationships between research practices, modes of intervention, and political ideals. Despite their strenuous exertions, they did not succeed in equipping their competing methodological stances with equally distinct politics. Where these efforts failed, they resorted to constructions of scientific self and other. Personae glued together practices (including assumptions, tools, and standards of evidence) and politics where perhaps no inherent bond existed. Our reading (1) elucidates the confusion over mathematical models just as they became the objects of political debate, and (2) aims to confound the idea that there is a politics of knowledge that is clearly delineable and transparent to historical actors and retrospective observers alike."
The Political and the Epistemic in the Twentieth Century: Historical Perspectives,"Historical studies on the relationship between knowledge and politics have mostly focused on the narrower interplay between scientific knowledge and political institutions: the role of experts and advisors in policy making or the impact of the modern state on scientific institutions, theories, practices, and projects. Borrowing from Foucauldian discourse analysis, others have departed from the constitutive interrelationship between knowledge and power in order to reconstruct the epistemic regimes of governmentality. Taking up recent accounts in political theory, such as those by Jacques Rancière, Ernesto Laclau, and Chantal Mouffe, we argue for an antifoundationalist understanding of both the political and the epistemic beyond institutionalized frameworks. The distinction between science, knowledge, and the realm of the political is thus not imbued with a clear-cut dividing line; instead, the relationship is characterized by ongoing and contested boundary work performed by various actors with different resources, strategies, intentions, and interests. The historically shifting scope of the political relies on contested fields and foundations of knowledge, and vice versa. For a more thorough understanding of the political aspects of knowledge production and circulation we therefore suggest considering the nonfoundational and agonistic conditions in which knowledge emerges in an ever-changing power play of forms and social contexts."
Political Instability and the Failure of Deterrence,"To study the conceptual foundations of deterrence, we develop a model of an international crisis between a country seeking to maintain a peaceful status quo (Defender), and a potential aggressor (Attacker). Attacker’s leader is politically insecure and may be unseated by domestic elites. Leaders and elites can each be hawkish, benefiting from conflict, or dovish and prefer peace. We show that the ability to maintain peace through deterrence crucially depends on ideological cohesiveness within Attacker countries. When there is ideological disagreement, we identify two novel mechanisms that cause the conventional logic of deterrence to fail. First, political instability breaks the link between a leader’s aggressive actions and Defender’s retaliatory response. Second, political instability creates a commitment problem leading doves to initiate crises to quell domestic conflicts. Asymmetric information exacerbates these problems so severely that Defender is better off committing to complete inaction."
"Political Booms, Financial Crises","Political booms, measured by the rise in governments’ popularity, predict financial crises above and beyond better known early warning indicators, such as credit booms. This predictive power, however, only holds in emerging economies. We argue that governments in developing countries have stronger incentives to “ride” unsound credit booms in order to boost their popularity, rather than implementing corrective policies that could prevent crises but are politically costly. We provide evidence of the relevance of this mechanism, partly by constructing a new cross-country data set on government popularity based on opinion polls."
The Strategic Foundations of Political Sovereignty,"Maintaining order is perhaps the most important problem confronting society, and establishing a sovereign ruler with monopoly control over the execution of violence creates two distinct security problems: one between private citizens (the horizontal dimension) and the other between the ruler and private citizens (the vertical dimension). I develop a framework to study these dual security problems and the incentives created in solving them together. I show that self-enforcing political sovereignty presents a problem of reciprocal agency, where every individual is simultaneously a principal and an agent and that a ruler will extort rents in exchange for upholding the social contract—the social contract tax—which crucially relies on balancing two distinct incentives, the desire to predate and the opportunity cost of political order. I consider the problem of selecting a ruler and show that the citizen who extorts the least is either the richest or the poorest, depending on the level of economic inequality."
Party Systems and Political Centralization and Decentralization,"Using a comprehensive, global data set, we provide evidence toward settling a debate in the literature on party systems and national political institutions regarding the relationships between political centralization and nationalization of political party support. We also help explain disparate findings in the literature. Does political centralization or decentralization precede nationalization or regionalization of political party support, or the other way around? We confirm previous findings that centralization is correlated with nationalized party systems. Our analysis shows, however, that on average centralization precedes party system nationalization more often than the other way around. And specifically, we provide novel evidence that it is administrative centralization, and not fiscal centralization, that drives these changes. The findings, based on a variety of statistical specifications and measures, are important because they shed light on the way that institutional changes, including constitutional changes regarding the relationships between central governments and subnational governments, affect party competition."
Violence against Women in Politics: Latin America in an Era of Backlash,"Violence against women in politics is increasingly recognized as a problem for women’s political participation worldwide. At the same time, antiprogressive campaigns promoted by religious groups and populist governments have risen across the globe. Looking at several cases in Latin America, I explore the differences and similarities between violence against women in politics and backlash, arguing that while they may be interrelated or concurrent, there are important differences between the goals, perpetrators, and forms of these two phenomena. While violence against women in politics is directed at women as women, backlash is directed at particular policies that, in the view of backlashers, upend a social order based on the heterosexual and patriarchal family. Ending both violence against women in politics and backlash requires structural and cultural changes, but each requires distinctive techniques. On the one hand, institutional changes that disincentivize violence against women in politics and provide effective reporting mechanisms will reduce the effects of this form of violence. Combatting backlash, on the other hand, requires strong and autonomous civil society organizations, mobilized grassroots movements, and political alliances between these actors to create effective pressure for resisting regressive policies. Both violence against women in politics and backlash pose important challenges for democracy worldwide, and combating them is imperative."
Race and Southern Political Development,"This article argues that ethnographic methods, or an ethnographic sensibility more broadly speaking, can go some way to addressing a thorny issue of realism in political theory. Realists are committed to taking context seriously and to offering critique, but how can they do both? Based on a reconstruction of the main lines of inquiry and arguments of Bernardo Zacka’s When the State Meets the Street, the article shows that an ethnographic sensibility is well suited to address the realist predicament because it combines two levels of interpretation. On one level, it seeks to reconstruct people’s understanding of what they are doing and who they are. On a second level, ethnography seeks to interpret the larger ideational and material power relations that affect people’s values and practices. The essay spells out how taking an ethnographic sensibility can enhance (realist) political theorists’ understanding of the nature and limits of politics in a particular context, while at the same time providing a starting point for potentially transformative criticism from within this context."
"Realism in Political Theory, Ethnographic Sensibility, and the Moral Agency of Bureaucrats","While scholars often portray Chinese political thought and tradition as standing in opposition to Western notions of political liberalism, little consideration has been given to compatibility between liberalism and Daoism, a prominent religion and long-standing alternative school of thought among Chinese peoples. Addressing this gap in the literature, this study in comparative political thought compares Laozi’s Dao De Jing with John Stuart Mill’s On Liberty to illustrate certain core political ideas in the Dao De Jing and their treatment in Mill’s landmark text on political liberalism. Although the two texts diverge in terms of advocacy of popular representation, public contestation, and legal rights, both reject authoritarianism, uniformity, patriarchy, censorship, harm, violence, and wastefulness. A reasonable interpretation of these affinities is that a unique, indigenous, and non-Western model of liberalism existed in China via Laozi’s thought for centuries before the advent of modern Western liberalism."
"The Other China Model: Daoism, Pluralism, and Political Liberalism","Using an original data set of around 70,000 civil rights cases heard by nearly 200 judges, we study the effect of presidential appointments to federal district courts. We provide the first causal estimates of whether lawsuits end differently depending on their assignment to either a Democratic or a Republican appointed judge. We show Republican appointees cause fewer settlements and more dismissals, favoring defendants by around 5 percentage points. We estimate a similarly sized effect for a sample of civil rights appeals heard in the Ninth Circuit, raising questions about the conventional wisdom that politics matters more at higher levels of the judicial hierarchy. We also find that the effect in district courts has increased over time. For cases filed during the Obama presidency, Republican appointees caused pro-defendant outcomes in 7.4% more cases than Democratic appointees. Our results suggest that district courts are an important—although neglected—subject of research for political scientists."
Political Appointments and Outcomes in Federal District Courts,"Do policy makers in both parties represent the opinions of the richest Americans, ignoring those of median income? We find that the two political parties primarily represent different interest group sectors, rather than public economic classes. The Republican Party and business interests are aligned across all issue areas and are more often aligned with the opinions of the richest Americans (especially on economic policy). Democrats more often represent middle class opinions and are uniformly aligned with advocacy groups. Support from both parties is associated with policy adoption, but party influence cannot explain the association between affluent opinions and policy outcomes. Rather than an oligarchic political system, these patterns show competition among organized elites that still provides multiple potential paths for unequal public class influence."
"Political Parties, Interest Groups, and Unequal Class Influence in American Policy","What are the political consequences of negative political theory concepts such as demagoguery? What happens when they are deployed in a way that brands an innocent victim with a reputation he or she does not deserve? This article contends that Daniel Shays was just such a victim. Despite playing only a peripheral role in the erroneously named “Shays’s Rebellion” of 1786–87, Shays himself was singled out by elites looking for ways to deflect blame away from themselves and their oligarchic Massachusetts regime. Subsequently labeling the movement “Shays’s Rebellion,” these elites cemented the narrative that Shays had led protest movements in western Massachusetts. Shays thus entered American political vernacular as the paradigmatic demagogue—and “Shays’s Rebellion” became the example of demagogue-led state failure—through the successful weaponization of a political idea. More broadly, the Shays case functions as a window into the relationship between ideas and political development in American politics."
Creating a Demagogue: The Political Origins of Daniel Shays’s Erroneous Legacy in American Political History,"A striking characteristic of moral judgments is that people commonly assign value to particular actions, irrespective of what consequences the actions bring about. This phenomenon might be important to understanding political judgments, when people frequently purport to stand on principle, even when doing so comes at a substantial cost. Here, I draw on work in psychology that might help identify which citizens are insensitive to consequences in the context of political argumentation. I find that a particular facet of attitude intensity (moral conviction) identifies citizens who think about political issues in absolutist terms (studies 1 and 2) and who dismiss damaging information about policy consequences (studies 3 and 4). These results develop understanding of what attributes make different political arguments compelling to different people and illustrate the utility of attitude intensity measures as a way to account for the atomized and disorganized nature of political opinions."
Actions versus Consequences in Political Arguments: Insights from Moral Psychology,"Individuals vary in how intensely they care about political outcomes. Despite attention to intensity in studies of representation and public opinion, the study of elections has paid less attention to the strategic dynamics of intensity. I present a theory that brings intensity to electoral competition. I investigate the preelection actions of voters and the response of candidates through a game-theoretic model. Because intensity is unobserved and subject to misrepresentation, voters communicate intensity through costly political action. Candidates respond to voter actions by sometimes proposing policy opposed by a low-intensity majority. The theory suggests when and why citizens choose costly action and expression, describes why citizens might prefer candidates with negative traits such as a history of misconduct, indicates when majoritarian systems might implement nonmajoritarian policy, shows when costly political action is welfare enhancing, and might help scholars reason about how candidates learn about voter interests."
"A Theory of Intensity, Electoral Competition, and Costly Political Action","Despite its centrality to human life, health, and happiness, sleep has never been a central topic of concern to political scientists. This article proposes that chronotype (a person’s time-of-sleep preference) is a previously unidentified psychological correlate of political ideology. Chronotype may lead to political ideology through a motivated social cognitive process, ideology may shape sleep patterns through a desire to align with social norms, or ideology and chronotype may arise from common antecedents, such as genetics, socialization, or community influences. Analyses demonstrate a link between a morningness and conservatism in seven American samples and one British sample. This relationship is robust to controls for openness, conscientiousness, and demographics, including age, sex, income, and education. The article concludes with a call to incorporate sleep and chronotype research into political science across a range of topics and subfields, including political psychology, social networks, political geography, political communication, political institutions, and survey design."
"Conservative Larks, Liberal Owls: The Relationship between Chronotype and Political Ideology","Does decentralization affect how voters attribute blame for poor economic performance? This question is particularly important in authoritarian regimes, where economic performance legitimacy is a key source of regime stability. Using political and economic data from large Russian cities for 2003–12, we investigate how replacing direct mayoral elections with appointments affects the way voters attribute blame for economic outcomes. We find that the ruling party is more likely to be punished for poor economic performance in cities with centrally appointed mayors than it is in cities with elected mayors. This research suggests that having locally elected officials may help electoral authoritarian regimes deflect responsibility for some unfavorable outcomes."
Who Is to Blame? Political Centralization and Electoral Punishment under Authoritarianism,"Political contractualism is important in societies characterized by substantial moral and political disagreement and diversity. The very disagreement that makes the social contract necessary, however, also makes agreement difficult. Call this the paradox of diversity, which is the result of a tension between two necessary conditions of political contractualism: existence and stability. The first involves showing the possibility of some agreement, while the second involves showing that the agreement can persist. To solve both of these problems, I develop a multilevel contract theory that I call the “open society” model of political contractualism that incorporates diversity into the contractual model at different levels solving the existence problem, while avoiding fragility in the face of the stability problem. This approach is able to take advantage of the benefits of institutional diversity while providing a stable framework for productive political disagreement."
"Agreeing to Disagree: Diversity, Political Contractualism, and the Open Society","Abul A‘la Maududi (1903–79), the influential Indo-Pakistani Islamist thinker and founder of Jama‘at-e-Islami, was deeply concerned with the dominance of European political ideas on Muslim thought. Showing that Maududi’s critique of nationalism had greater depth and complexity than most commentators have recognized, and taking seriously his stated interest in moving beyond the “intellectual slavery” engendered by colonialism the essay argues for reading his analysis of nationalism in modern democracies and his proposed solution of jizya as an attempt at decolonizing political theory through conceptual innovation that employed Islamic resources to address limitations of European thought and practice, and inverted colonial hierarchies of thought. Recognizing it as such deepens our understanding of the challenges involved in and raised by decolonizing political theory."
Jizya against Nationalism: Abul A‘la Maududi’s Attempt at Decolonizing Political Theory,"This article reveals the positions of corporations not only as active players in politics but also as targets of activist shareholders with opposing political preferences. We examine whether a firm’s political orientation, as measured by its political spending, serves as a driver of shareholder proposal submissions, one manifestation of shareholder activism. Using data on S&P 500 companies for 1997–2014, we find that the divergence in political orientation between shareholders and corporate management is strongly associated with the number of submissions of shareholder proposals on environmental or social issues. Firms that contribute more to the Republican Party are more likely to be targeted by nonindividual, Democratic-leaning shareholders. This pattern remains even after controlling for firms’ records of corporate social responsibility and labor relations. This finding implies that corporate political spending prompts shareholders with strong political preferences to target firms on the opposite end of the political spectrum."
Active Firms and Active Shareholders: Corporate Political Activity and Shareholder Proposals,"Does party competition affect political activism? This paper studies the decision of party supporters to join political campaigns. We present a framework that incorporates supporters’ instrumental and expressive motives and illustrates that party competition can either increase or decrease party activism. To distinguish between these competing predictions, we implemented a field experiment with a European party during a national election. In a seemingly unrelated party survey, we randomly assigned 1,417 party supporters to true information that the canvassing activity of the main competitor party was exceptionally high. Using unobtrusive, real-time data on party supporters’ canvassing behavior, we find that respondents exposed to the high-competition treatment are 30% less likely to go canvassing. To investigate the causal mechanism, we leverage additional survey evidence collected two months after the campaign. Consistent with affective accounts of political activism, we show that increased competition lowered party supporters’ political self-efficacy, which plausibly led them to remain inactive."
Does Party Competition Affect Political Activism?,"The characters and preferences of individual leaders matter greatly for policies and governance in many political systems, yet systematic evidence on how politicians lead and the consequences of their leadership styles remains scant. This study sheds light on these issues by analyzing a unique data set of internal evaluation remarks for top provincial politicians in China. Latent class analyses on evaluation keywords reveal two distinct styles: an assertive, autocratic style that focuses on centralized decision-making and efficient execution and a relatively soft, collegial style that respects dissent and fosters intraelite collaboration. We further show that these two leadership styles are associated with distinct governing strategies and that they both offer viable, but different, paths to political survival. These findings enrich our understanding of survival tactics and selection dynamics in one-party systems."
